organization,work_area,project,survey,site_id,date,sampling_bout,dive_supervisor,collector,collection_id,hakai_id,sample_type,depth,transect_dist,collected_start,collected_end,species,quantity,length_cm,estimated_quantity,comments,quality_log
HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_INTERIOR6,2017-02-25,6,Gillian,Kyle,FISH_2017-02-25_PRUTH_BAY_Interior6_2,MGFSH24011,fish,,,2017-02-25T17:49:41.000Z,2017-02-26T17:52:56.000Z,no_obs,,,,,1: No fish observed
HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_EDGE1,2017-05-19,1,gillian;gillian.sadlierbrown,kyle,FISH_2017-05-19_CHOKED_PASS_EDGE1_6,MGFSH11558,fish,,,2017-05-19T16:47:12.000Z,2017-05-19T16:52:36.000Z,no_obs,,,,,1: No fish observed
HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_EDGE2,2017-05-19,2,gillian;gillian.sadlierbrown,kyle,FISH_2017-05-19_CHOKED_PASS_EDGE2_6,MGFSH1845,fish,,,2017-05-19T17:22:39.000Z,2017-05-19T17:27:00.000Z,cod/pacific,2,5,false,,
HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_EDGE2,2017-05-19,2,gillian;gillian.sadlierbrown,kyle,FISH_2017-05-19_CHOKED_PASS_EDGE2_6,MGFSH1844,fish,,,2017-05-19T17:22:39.000Z,2017-05-19T17:27:00.000Z,tubesnout,1,17,false,,
HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_EDGE2,2017-05-19,2,gillian;gillian.sadlierbrown,kyle,FISH_2017-05-19_CHOKED_PASS_EDGE2_6,MGFSH1843,fish,,,2017-05-19T17:22:39.000Z,2017-05-19T17:27:00.000Z,tubesnout,2,15,false,,
HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_EDGE2,2017-05-19,2,gillian;gillian.sadlierbrown,kyle,FISH_2017-05-19_CHOKED_PASS_EDGE2_6,MGFSH1842,fish,,,2017-05-19T17:22:39.000Z,2017-05-19T17:27:00.000Z,tubesnout,2,14,false,,
HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_INTERIOR5,2017-05-19,5,gillian;gillian.sadlierbrown,ondine,FISH_2017-05-19_CHOKED_PASS_INTERIOR5_5,MGFSH11568,fish,,,2017-05-19T18:00:49.000Z,2017-05-19T18:05:14.000Z,no_obs,,,,,1: No fish observed
HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_INTERIOR4,2017-05-19,4,gillian;gillian.sadlierbrown,ondine,FISH_2017-05-19_CHOKED_PASS_INTERIOR4_3,MGFSH11569,fish,,,2017-05-19T20:32:15.000Z,2017-05-19T20:38:32.000Z,no_obs,,,,,1: No fish observed
HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_INTERIOR4,2017-05-19,4,gillian;gillian.sadlierbrown,kyle,FISH_2017-05-19_CHOKED_PASS_INTERIOR4_6,MGFSH11570,fish,,,2017-05-19T20:40:31.000Z,2017-05-19T20:44:52.000Z,no_obs,,,,,1: No fish observed
HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_INTERIOR6,2017-05-19,6,gillian;gillian.sadlierbrown,ondine,FISH_2017-05-19_CHOKED_PASS_INTERIOR6_3,MGFSH11571,fish,,,2017-05-19T21:09:50.000Z,2017-05-19T21:14:28.000Z,no_obs,,,,,1: No fish observed
HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_INTERIOR6,2017-05-19,6,gillian;gillian.sadlierbrown,kyle,FISH_2017-05-19_CHOKED_PASS_INTERIOR6_6,MGFSH11572,fish,,,2017-05-19T21:16:27.000Z,2017-05-19T21:19:44.000Z,no_obs,,,,,1: No fish observed
HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_EDGE3,2017-05-19,3,gillian;gillian.sadlierbrown,kyle,FISH_2017-05-19_CHOKED_PASS_EDGE3_6,MGFSH1847,fish,,,2017-05-19T21:51:39.000Z,2017-05-19T21:54:59.000Z,greenling/kelp,1,30,false,,
