"","date","survey","site_id","n_fish_surveys","n_events","issue"
"113","2016-08-21","MCMULLIN_NORTH","MCMULLIN_NORTH_INTERIOR4",NA,1,"both surveys missing"
"114","2016-08-21","MCMULLIN_NORTH","MCMULLIN_NORTH_INTERIOR5",NA,1,"both surveys missing"
"115","2016-08-21","MCMULLIN_NORTH","MCMULLIN_NORTH_INTERIOR6",NA,1,"both surveys missing"
"116","2016-08-22","TRIQUET_NORTH","TRIQUET_NORTH_EDGE1",NA,1,"both surveys missing"
"117","2016-08-22","TRIQUET_NORTH","TRIQUET_NORTH_EDGE2",NA,1,"both surveys missing"
"118","2016-08-22","TRIQUET_NORTH","TRIQUET_NORTH_EDGE3",NA,1,"both surveys missing"
"119","2016-08-22","TRIQUET_NORTH","TRIQUET_NORTH_INTERIOR4",NA,1,"both surveys missing"
"120","2016-08-22","TRIQUET_NORTH","TRIQUET_NORTH_INTERIOR5",NA,1,"both surveys missing"
"121","2016-08-22","TRIQUET_NORTH","TRIQUET_NORTH_INTERIOR6",NA,1,"both surveys missing"
"122","2016-08-23","MCMULLIN_SOUTH","MCMULLIN_SOUTH_EDGE1",NA,1,"both surveys missing"
"123","2016-08-23","MCMULLIN_SOUTH","MCMULLIN_SOUTH_EDGE2",NA,1,"both surveys missing"
"124","2016-08-23","MCMULLIN_SOUTH","MCMULLIN_SOUTH_EDGE3",NA,1,"both surveys missing"
"125","2016-08-23","MCMULLIN_SOUTH","MCMULLIN_SOUTH_INTERIOR4",NA,1,"both surveys missing"
"126","2016-08-23","MCMULLIN_SOUTH","MCMULLIN_SOUTH_INTERIOR5",NA,1,"both surveys missing"
"127","2016-08-23","MCMULLIN_SOUTH","MCMULLIN_SOUTH_INTERIOR6",NA,1,"both surveys missing"
"128","2016-08-24","GOOSE_SOUTHEAST","GOOSE_SOUTHEAST_EDGE1",NA,1,"both surveys missing"
"129","2016-08-24","GOOSE_SOUTHEAST","GOOSE_SOUTHEAST_EDGE2",NA,1,"both surveys missing"
"130","2016-08-24","GOOSE_SOUTHEAST","GOOSE_SOUTHEAST_EDGE3",NA,1,"both surveys missing"
"131","2016-08-24","GOOSE_SOUTHEAST","GOOSE_SOUTHEAST_INTERIOR4",NA,1,"both surveys missing"
"132","2016-08-24","GOOSE_SOUTHEAST","GOOSE_SOUTHEAST_INTERIOR5",NA,1,"both surveys missing"
"133","2016-08-24","GOOSE_SOUTHEAST","GOOSE_SOUTHEAST_INTERIOR6",NA,1,"both surveys missing"
"134","2016-08-25","CHOKED_PASS","CHOKED_PASS_EDGE1",NA,1,"both surveys missing"
"135","2016-08-25","CHOKED_PASS","CHOKED_PASS_EDGE2",NA,1,"both surveys missing"
"136","2016-08-25","CHOKED_PASS","CHOKED_PASS_EDGE3",NA,1,"both surveys missing"
"137","2016-08-25","CHOKED_PASS","CHOKED_PASS_EDGE7",NA,1,"both surveys missing"
"138","2016-08-25","CHOKED_PASS","CHOKED_PASS_INTERIOR4",NA,1,"both surveys missing"
"139","2016-08-25","CHOKED_PASS","CHOKED_PASS_INTERIOR5",NA,1,"both surveys missing"
"140","2016-08-25","CHOKED_PASS","CHOKED_PASS_INTERIOR6",NA,1,"both surveys missing"
"141","2016-08-27","GOOSE_SOUTHWEST","GOOSE_SOUTHWEST_EDGE1",NA,1,"both surveys missing"
"142","2016-08-27","GOOSE_SOUTHWEST","GOOSE_SOUTHWEST_EDGE2",NA,1,"both surveys missing"
"143","2016-08-27","GOOSE_SOUTHWEST","GOOSE_SOUTHWEST_EDGE3",NA,1,"both surveys missing"
"144","2016-08-27","GOOSE_SOUTHWEST","GOOSE_SOUTHWEST_INTERIOR4",NA,1,"both surveys missing"
"145","2016-08-27","GOOSE_SOUTHWEST","GOOSE_SOUTHWEST_INTERIOR5",NA,1,"both surveys missing"
"146","2016-08-27","GOOSE_SOUTHWEST","GOOSE_SOUTHWEST_INTERIOR6",NA,1,"both surveys missing"
"147","2016-09-12","CHOKED_PASS","CHOKED_PASS_EDGE1",NA,1,"both surveys missing"
"148","2016-09-12","CHOKED_PASS","CHOKED_PASS_EDGE2",NA,1,"both surveys missing"
"149","2016-09-12","CHOKED_PASS","CHOKED_PASS_EDGE3",NA,1,"both surveys missing"
"150","2016-09-12","CHOKED_PASS","CHOKED_PASS_EDGE7",NA,1,"both surveys missing"
"151","2016-09-12","CHOKED_PASS","CHOKED_PASS_INTERIOR4",NA,1,"both surveys missing"
"152","2016-09-12","CHOKED_PASS","CHOKED_PASS_INTERIOR5",NA,1,"both surveys missing"
"153","2016-09-12","CHOKED_PASS","CHOKED_PASS_INTERIOR6",NA,1,"both surveys missing"
"154","2016-09-12","PRUTH_BAY","PRUTH_BAY_EDGE1",NA,1,"both surveys missing"
"155","2016-09-12","PRUTH_BAY","PRUTH_BAY_EDGE2",NA,1,"both surveys missing"
"156","2016-09-12","PRUTH_BAY","PRUTH_BAY_EDGE3",NA,1,"both surveys missing"
"157","2016-09-12","PRUTH_BAY","PRUTH_BAY_INTERIOR4",NA,1,"both surveys missing"
"158","2016-09-12","PRUTH_BAY","PRUTH_BAY_INTERIOR5",NA,1,"both surveys missing"
"159","2016-09-12","PRUTH_BAY","PRUTH_BAY_INTERIOR6",NA,1,"both surveys missing"
"160","2016-11-13","PRUTH_BAY","PRUTH_BAY_EDGE1",NA,1,"both surveys missing"
"161","2016-11-13","PRUTH_BAY","PRUTH_BAY_EDGE2",NA,1,"both surveys missing"
"162","2016-11-13","PRUTH_BAY","PRUTH_BAY_EDGE3",NA,1,"both surveys missing"
"163","2016-11-13","PRUTH_BAY","PRUTH_BAY_INTERIOR5",NA,1,"both surveys missing"
"164","2016-11-13","PRUTH_BAY","PRUTH_BAY_INTERIOR6",NA,1,"both surveys missing"
"165","2016-11-14","CHOKED_PASS","CHOKED_PASS_EDGE1",NA,1,"both surveys missing"
"166","2016-11-14","CHOKED_PASS","CHOKED_PASS_EDGE7",NA,1,"both surveys missing"
"167","2017-02-23","PRUTH_BAY","PRUTH_BAY_EDGE1",NA,1,"both surveys missing"
"168","2017-02-23","PRUTH_BAY","PRUTH_BAY_EDGE2",NA,1,"both surveys missing"
"169","2017-02-23","PRUTH_BAY","PRUTH_BAY_EDGE3",NA,1,"both surveys missing"
"170","2017-02-23","PRUTH_BAY","PRUTH_BAY_INTERIOR4",NA,1,"both surveys missing"
"171","2017-02-23","PRUTH_BAY","PRUTH_BAY_INTERIOR5",NA,1,"both surveys missing"
"172","2017-02-23","PRUTH_BAY","PRUTH_BAY_INTERIOR6",NA,1,"both surveys missing"
"173","2017-02-24","CHOKED_PASS","CHOKED_PASS_EDGE1",NA,1,"both surveys missing"
"174","2017-02-24","CHOKED_PASS","CHOKED_PASS_EDGE2",NA,1,"both surveys missing"
"175","2017-02-24","CHOKED_PASS","CHOKED_PASS_EDGE3",NA,1,"both surveys missing"
"176","2017-02-24","CHOKED_PASS","CHOKED_PASS_EDGE7",NA,1,"both surveys missing"
"177","2017-02-24","CHOKED_PASS","CHOKED_PASS_INTERIOR4",NA,1,"both surveys missing"
"178","2017-02-24","CHOKED_PASS","CHOKED_PASS_INTERIOR5",NA,1,"both surveys missing"
"179","2017-02-24","CHOKED_PASS","CHOKED_PASS_INTERIOR6",NA,1,"both surveys missing"
"180","2017-02-25","PRUTH_BAY","PRUTH_BAY_EDGE1",NA,1,"both surveys missing"
"181","2017-06-11","CHOKED_PASS","CHOKED_PASS_EDGE3",NA,1,"both surveys missing"
"182","2017-06-11","CHOKED_PASS","CHOKED_PASS_EDGE7",NA,1,"both surveys missing"
"183","2017-06-12","CHOKED_PASS","CHOKED_PASS_EDGE2",NA,1,"both surveys missing"
"184","2017-06-12","CHOKED_PASS","CHOKED_PASS_INTERIOR4",NA,1,"both surveys missing"
"185","2017-06-12","CHOKED_PASS","CHOKED_PASS_INTERIOR5",NA,1,"both surveys missing"
"186","2017-06-12","CHOKED_PASS","CHOKED_PASS_INTERIOR6",NA,1,"both surveys missing"
"187","2017-07-08","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR6",NA,1,"both surveys missing"
"188","2017-07-08","TRIQUET_BAY","TRIQUET_BAY_EDGE2",NA,1,"both surveys missing"
