"","action","work_area","organization","project","date","site_id","sampling_bout","survey","hakai_id","field_staff","gather_lat","gather_long","vessel","samples","quality_level","comments","quality_log"
"34",NA,"CALVERT","HAKAI","MARINEGEO",2015-06-26,"MCMULLIN_SOUTH_INTERIOR5",5,"MCMULLIN_SOUTH","2015-06-26_MCMULLIN_SOUTH_INTERIOR5_5",NA,NA,NA,NA,NA,"Raw",NA,NA
"35",NA,"CALVERT","HAKAI","MARINEGEO",2015-06-26,"MCMULLIN_SOUTH_INTERIOR6",6,"MCMULLIN_SOUTH","2015-06-26_MCMULLIN_SOUTH_INTERIOR6_6",NA,NA,NA,NA,NA,"Raw",NA,NA
"36",NA,"CALVERT","HAKAI","MARINEGEO",2015-06-28,"GOOSE_SOUTHEAST_EDGE1",1,"GOOSE_SOUTHEAST","2015-06-28_GOOSE_SOUTHEAST_EDGE1_1",NA,NA,NA,NA,NA,"Raw",NA,NA
"37",NA,"CALVERT","HAKAI","MARINEGEO",2015-06-28,"GOOSE_SOUTHEAST_EDGE2",2,"GOOSE_SOUTHEAST","2015-06-28_GOOSE_SOUTHEAST_EDGE2_2",NA,NA,NA,NA,NA,"Raw",NA,NA
"38",NA,"CALVERT","HAKAI","MARINEGEO",2015-06-28,"GOOSE_SOUTHEAST_EDGE3",3,"GOOSE_SOUTHEAST","2015-06-28_GOOSE_SOUTHEAST_EDGE3_3",NA,NA,NA,NA,NA,"Raw",NA,NA
"39",NA,"CALVERT","HAKAI","MARINEGEO",2015-06-28,"GOOSE_SOUTHEAST_INTERIOR4",4,"GOOSE_SOUTHEAST","2015-06-28_GOOSE_SOUTHEAST_INTERIOR4_4",NA,NA,NA,NA,NA,"Raw",NA,NA
"40",NA,"CALVERT","HAKAI","MARINEGEO",2015-06-28,"GOOSE_SOUTHEAST_INTERIOR5",5,"GOOSE_SOUTHEAST","2015-06-28_GOOSE_SOUTHEAST_INTERIOR5_5",NA,NA,NA,NA,NA,"Raw",NA,NA
"41",NA,"CALVERT","HAKAI","MARINEGEO",2015-06-28,"GOOSE_SOUTHEAST_INTERIOR6",6,"GOOSE_SOUTHEAST","2015-06-28_GOOSE_SOUTHEAST_INTERIOR6_6",NA,NA,NA,NA,NA,"Raw",NA,NA
"42",NA,"CALVERT","HAKAI","MARINEGEO",2015-06-28,"GOOSE_SOUTHWEST_EDGE1",1,"GOOSE_SOUTHWEST","2015-06-28_GOOSE_SOUTHWEST_EDGE1_1",NA,NA,NA,NA,NA,"Raw",NA,NA
"43",NA,"CALVERT","HAKAI","MARINEGEO",2015-06-28,"GOOSE_SOUTHWEST_EDGE2",2,"GOOSE_SOUTHWEST","2015-06-28_GOOSE_SOUTHWEST_EDGE2_2",NA,NA,NA,NA,NA,"Raw",NA,NA
"44",NA,"CALVERT","HAKAI","MARINEGEO",2015-06-28,"GOOSE_SOUTHWEST_EDGE3",3,"GOOSE_SOUTHWEST","2015-06-28_GOOSE_SOUTHWEST_EDGE3_3",NA,NA,NA,NA,NA,"Raw",NA,NA
"45",NA,"CALVERT","HAKAI","MARINEGEO",2015-06-28,"GOOSE_SOUTHWEST_INTERIOR4",4,"GOOSE_SOUTHWEST","2015-06-28_GOOSE_SOUTHWEST_INTERIOR4_4",NA,NA,NA,NA,NA,"Raw",NA,NA
"46",NA,"CALVERT","HAKAI","MARINEGEO",2015-06-28,"GOOSE_SOUTHWEST_INTERIOR5",5,"GOOSE_SOUTHWEST","2015-06-28_GOOSE_SOUTHWEST_INTERIOR5_5",NA,NA,NA,NA,NA,"Raw",NA,NA
"47",NA,"CALVERT","HAKAI","MARINEGEO",2015-06-28,"GOOSE_SOUTHWEST_INTERIOR6",6,"GOOSE_SOUTHWEST","2015-06-28_GOOSE_SOUTHWEST_INTERIOR6_6",NA,NA,NA,NA,NA,"Raw",NA,NA
"48",NA,"CALVERT","HAKAI","MARINEGEO",2015-07-03,"CHOKED_PASS_EDGE7",7,"CHOKED_PASS","2015-07-03_CHOKED_PASS_EDGE7_7",NA,NA,NA,NA,NA,"Raw",NA,NA
"49",NA,"CALVERT","HAKAI","MARINEGEO",2015-07-04,"CHOKED_PASS_EDGE12",12,"CHOKED_PASS","2015-07-04_CHOKED_PASS_EDGE12_12",NA,NA,NA,NA,NA,"Raw",NA,NA
"50",NA,"CALVERT","HAKAI","MARINEGEO",2015-07-05,"CHOKED_PASS_EDGE1",1,"CHOKED_PASS","2015-07-05_CHOKED_PASS_EDGE1_1",NA,NA,NA,NA,NA,"Raw",NA,NA
"51",NA,"CALVERT","HAKAI","MARINEGEO",2015-07-05,"CHOKED_PASS_EDGE10",10,"CHOKED_PASS","2015-07-05_CHOKED_PASS_EDGE10_10",NA,NA,NA,NA,NA,"Raw",NA,NA
"52",NA,"CALVERT","HAKAI","MARINEGEO",2015-07-06,"CHOKED_PASS_INTERIOR9",9,"CHOKED_PASS","2015-07-06_CHOKED_PASS_INTERIOR9_9",NA,NA,NA,NA,NA,"Raw",NA,NA
"53",NA,"CALVERT","HAKAI","MARINEGEO",2015-07-07,"CHOKED_PASS_INTERIOR4",4,"CHOKED_PASS","2015-07-07_CHOKED_PASS_INTERIOR4_4",NA,NA,NA,NA,NA,"Raw",NA,NA
"54",NA,"CALVERT","HAKAI","MARINEGEO",2015-07-07,"CHOKED_PASS_INTERIOR6",6,"CHOKED_PASS","2015-07-07_CHOKED_PASS_INTERIOR6_6",NA,NA,NA,NA,NA,"Raw",NA,NA
"55",NA,"CALVERT","HAKAI","MARINEGEO",2015-07-08,"CHOKED_PASS_EDGE11",11,"CHOKED_PASS","2015-07-08_CHOKED_PASS_EDGE11_11",NA,NA,NA,NA,NA,"Raw",NA,NA
"56",NA,"CALVERT","HAKAI","MARINEGEO",2015-07-08,"CHOKED_PASS_EDGE3",3,"CHOKED_PASS","2015-07-08_CHOKED_PASS_EDGE3_3",NA,NA,NA,NA,NA,"Raw",NA,NA
"57",NA,"CALVERT","HAKAI","MARINEGEO",2015-07-08,"CHOKED_PASS_EDGE8",8,"CHOKED_PASS","2015-07-08_CHOKED_PASS_EDGE8_8",NA,NA,NA,NA,NA,"Raw",NA,NA
"58",NA,"CALVERT","HAKAI","MARINEGEO",2015-07-08,"CHOKED_PASS_INTERIOR5",5,"CHOKED_PASS","2015-07-08_CHOKED_PASS_INTERIOR5_5",NA,NA,NA,NA,NA,"Raw",NA,NA
"59",NA,"CALVERT","HAKAI","MARINEGEO",2015-07-10,"CHOKED_PASS_EDGE2",2,"CHOKED_PASS","2015-07-10_CHOKED_PASS_EDGE2_2",NA,NA,NA,NA,NA,"Raw",NA,NA
"60",NA,"CALVERT","HAKAI","MARINEGEO",2015-07-29,"7",7,"CHOKED_PASS","2015-07-29_7_7",NA,NA,NA,NA,NA,"Raw",NA,NA
"61",NA,"CALVERT","HAKAI","MARINEGEO",2015-07-29,"8",8,"CHOKED_PASS","2015-07-29_8_8",NA,NA,NA,NA,NA,"Raw",NA,NA
"62",NA,"CALVERT","HAKAI","MARINEGEO",2015-07-29,"CHOKED_PASS_EDGE11",11,"CHOKED_PASS","2015-07-29_CHOKED_PASS_EDGE11_11",NA,NA,NA,NA,NA,"Raw",NA,NA
"63",NA,"CALVERT","HAKAI","MARINEGEO",2015-07-29,"CHOKED_PASS_EDGE 7",7,"CHOKED_PASS","2015-07-29_CHOKED_PASS_EDGE 7_7",NA,NA,NA,NA,NA,"Raw",NA,NA
"64",NA,"CALVERT","HAKAI","MARINEGEO",2015-07-29,"CHOKED_PASS_EDGE 8",8,"CHOKED_PASS","2015-07-29_CHOKED_PASS_EDGE 8_8",NA,NA,NA,NA,NA,"Raw",NA,NA
"65",NA,"CALVERT","HAKAI","MARINEGEO",2015-07-29,"CHOKED_PASS_INTERIOR6",6,"CHOKED_PASS","2015-07-29_CHOKED_PASS_INTERIOR6_6",NA,NA,NA,NA,NA,"Raw",NA,NA
"66",NA,"CALVERT","HAKAI","MARINEGEO",2015-07-30,"CHOKED_PASS_EDGE2",2,"CHOKED_PASS","2015-07-30_CHOKED_PASS_EDGE2_2",NA,NA,NA,NA,NA,"Raw",NA,NA
"67",NA,"CALVERT","HAKAI","MARINEGEO",2015-07-30,"CHOKED_PASS_INTERIOR9",9,"CHOKED_PASS","2015-07-30_CHOKED_PASS_INTERIOR9_9",NA,NA,NA,NA,NA,"Raw",NA,NA
"68",NA,"CALVERT","HAKAI","MARINEGEO",2015-07-31,"CHOKED_PASS_EDGE12",12,"CHOKED_PASS","2015-07-31_CHOKED_PASS_EDGE12_12",NA,NA,NA,NA,NA,"Raw",NA,NA
"69",NA,"CALVERT","HAKAI","MARINEGEO",2015-07-31,"CHOKED_PASS_EDGE3",3,"CHOKED_PASS","2015-07-31_CHOKED_PASS_EDGE3_3",NA,NA,NA,NA,NA,"Raw",NA,NA
"70",NA,"CALVERT","HAKAI","MARINEGEO",2015-08-01,"CHOKED_PASS_EDGE1",1,"CHOKED_PASS","2015-08-01_CHOKED_PASS_EDGE1_1",NA,NA,NA,NA,NA,"Raw",NA,NA
"71",NA,"CALVERT","HAKAI","MARINEGEO",2015-08-01,"CHOKED_PASS_EDGE10",10,"CHOKED_PASS","2015-08-01_CHOKED_PASS_EDGE10_10",NA,NA,NA,NA,NA,"Raw",NA,NA
"72",NA,"CALVERT","HAKAI","MARINEGEO",2015-08-01,"CHOKED_PASS_INTERIOR4",4,"CHOKED_PASS","2015-08-01_CHOKED_PASS_INTERIOR4_4",NA,NA,NA,NA,NA,"Raw",NA,NA
"73",NA,"CALVERT","HAKAI","MARINEGEO",2015-08-01,"CHOKED_PASS_INTERIOR5",5,"CHOKED_PASS","2015-08-01_CHOKED_PASS_INTERIOR5_5",NA,NA,NA,NA,NA,"Raw",NA,NA
"74",NA,"CALVERT","HAKAI","MARINEGEO",2016-05-12,"PRUTH_BAY_EDGE3",3,"PRUTH_BAY","2016-05-12_PRUTH_BAY_EDGE3_3","Zach",NA,NA,NA,NA,"Raw",NA,NA
"75",NA,"CALVERT","HAKAI","MARINEGEO",2016-05-13,"PRUTH_BAY_EDGE1",1,"PRUTH_BAY","2016-05-13_PRUTH_BAY_EDGE1_1","Zach",NA,NA,NA,NA,"Raw",NA,NA
"76",NA,"CALVERT","HAKAI","MARINEGEO",2016-05-13,"PRUTH_BAY_EDGE2",2,"PRUTH_BAY","2016-05-13_PRUTH_BAY_EDGE2_2","Zach",NA,NA,NA,NA,"Raw",NA,NA
"77",NA,"CALVERT","HAKAI","MARINEGEO",2016-05-13,"PRUTH_BAY_INTERIOR4",4,"PRUTH_BAY","2016-05-13_PRUTH_BAY_INTERIOR4_4","Zach",NA,NA,NA,NA,"Raw",NA,NA
"78",NA,"CALVERT","HAKAI","MARINEGEO",2016-05-13,"PRUTH_BAY_INTERIOR5",5,"PRUTH_BAY","2016-05-13_PRUTH_BAY_INTERIOR5_5","Zach",NA,NA,NA,NA,"Raw",NA,NA
"79",NA,"CALVERT","HAKAI","MARINEGEO",2016-05-13,"PRUTH_BAY_INTERIOR6",6,"PRUTH_BAY","2016-05-13_PRUTH_BAY_INTERIOR6_6","Zach",NA,NA,NA,NA,"Raw",NA,NA
"80",NA,"CALVERT","HAKAI","MARINEGEO",2016-05-14,"CHOKED_PASS_EDGE1",1,"CHOKED_PASS","2016-05-14_CHOKED_PASS_EDGE1_1","Zach",NA,NA,NA,NA,"Raw",NA,NA
"81",NA,"CALVERT","HAKAI","MARINEGEO",2016-05-14,"CHOKED_PASS_INTERIOR4",4,"CHOKED_PASS","2016-05-14_CHOKED_PASS_INTERIOR4_4","Zach",NA,NA,NA,NA,"Raw",NA,NA
